stt,word,furigana,Sino-Vietnamese,meaning,example
459,飛ぶ,と,phi,"bay, bay mất","[['1. 鳥が空を飛んでいる', 'Chim đang bay trên bầu trời.'], ['2. みかんの汁が飛ぶ', 'Nước của quả quýt bắn ra.'], ['3. ボールが飛んできて、頭に当たった', 'Quả bóng bắn ra trúng vào đầu.'], ['4. 子どもが事故にあったと聞いて、病院へ飛んで行った', 'Khi nghe tin đứa con bị tai nạn, tôi như bay đến bệnh viện.'], ['5. 彼女は彼を追ってパリへ飛んだ', 'Cô ấy bay đến Pari để theo chân anh ta.'], ['6. 資料のページが飛んでいないかどうか、確認してください', 'Trang tài liệu không rõ bị thiếu hay không, hãy xác nhận cho tôi.'], ['7. パソコンのデータが飛んでしまった', 'Dữ liệu trong máy tính đã bị mất.'], ['類 抜ける', 'Bỏ, cởi ra']]"
460,飛ばす,と,phi,"bắn, phóng, làm bay, bỏ qua","[['1. 紙飛行機を飛ばす', 'Phóng máy bay giấy.'], ['2. 風船を飛ばす', 'Làm bay khinh khí cầu.'], ['3. つばを飛ばして話す', 'Nói chuyện bắn cả nước bọt.'], ['4. 風で洗たく物が飛ばされてしまった', 'Vì gió nên bay hết đồ đã giặt.'], ['5. 文章を１行飛ばして読んでしまった', 'Đọc đoạn văn mà bỏ qua một dòng mất rồi.'], ['6. 並んで待っていたのに、順番を飛ばされた', 'Đã xếp thành hàng chờ nhưng mà bị bỏ qua mất số thứ tự.'], ['類 抜かす', 'Gỡ ra, lược bỏ']]"
461,振る,ふ,chấn,"vẫy (tay), rắc (muối), đá (người yêu)","[['1. 手をふる', 'Vẫy tay.'], ['2. 「この飲み物は、よくふってからお飲みください」', 'Cái đồ uống này, hãy lắc mạnh rồi uống.'], ['3. 肉に塩をふる', 'Rắc muối lên thịt.'], ['4. 片思いの彼女に告白したが、ふられてしまった', 'Tôi đã thú nhận tình cảm đơn phương với cô ấy nhưng bị từ chối.']]"
462,めくる,,,"lật (card, lịch...)","[['1. ｛カード／ページ／カレンダー\u3000…｝をめくる', 'Lật {card/ trang/ lịch…}.']]"
463,見かける,み,kiến,"thấy, tình cờ gặp","[['1. 街で偶然、昔の友だちを見かけた', 'Tình cờ gặp bạn cũ trên phố.'], ['2. 最近、公衆電話を見かけなくなった', 'Gần đây không còn thấy điện thoại công cộng.'], ['3. このりんごは見かけは甘そうだったが、食べてみるとすっぱかった', 'Quả táo này nhìn cứ tưởng ngọt nhưng ăn thử thì rất chua.'], ['名 見かけ', 'Nhìn sơ qua']]"
464,確かめる,たし,xác,"xác nhận, làm cho rõ ràng","[['1. フャックスが届いたかどうか、相手に電話して確かめた', 'Tôi gọi điện xác nhận với đối tác xem là fax đã gửi đến chưa.'], ['2. 飲み会の参加人数を確かめた', 'Xác nhận rõ số người tham gia nhậu.'], ['類 確認する', 'Xác nhận'], ['関 確かな', 'Chính xác']]"
465,試す,ため,thí,thử nghiệm,"[['1. 洋服が似合うかどうか、着て試してみた', 'Tôi đã mặc thử xem có hợp với bộ Tây phục không.'], ['2. 自分の実力を試すために、テストを受けた', 'Để kiểm tra khả năng của mình tôi đã làm bài kiểm tra.'], ['3. 「どうぞお試しください」', 'Xin mời hãy thử đi ạ.'], ['4. 似合うかどうか、試しに着てみた', 'Mặc thử xem có hợp hay không.'], ['類 試みる', 'Thử'], ['関 試しに', 'Để thử']]"
466,繰り返す,く,sào phản,lặp lại,"[['1. 「同じ失敗をくり返してはいけません」', '""Không được lặp lại cùng một sai lầm.""'], ['2. この本は大好きなので、くり返し読みました', 'Vì cuốn sách này tôi rất thích nên đã đọc đi đọc lại.'], ['名 繰り返し', 'Lặp lại']]"
467,訳す,やく,dịch,"dịch (phiên dịch, thông dịch)","[['1. 英語を日本語に訳す', 'Dịch tiếng Anh sang tiếng Nhật.'], ['2. 英語の分に日本語訳をつける', 'Thêm bản dịch tiếng Nhật vào câu văn tiếng Anh.'], ['関 翻訳する、通訳する', 'Biên dịch/ thông dịch'], ['名 訳', 'Dịch']]"
468,行う,おこな,hành/hàng,tổ chức,"[['1. ｛試験／会議／スピーチ／イベント\u3000…｝を行う', 'Tổ chức {kì thi/ cuộc hop/ thuyết trình/ sự kiện…}.'], ['名 行い→\u3000＿がいい <=> 悪い', 'Tổ chức tốt <=> tổ chức không tốt.']]"
469,間違う,まちが,gian vi,"lỗi, nhầm lẫn","[['1. この計算は間違っている', 'Tính toán này bị sai.'], ['2. お金があれば幸せになれるというのは間違った考えだ', 'Suy nghĩ nếu có tiền thì trở nên hạnh phúc là suy nghĩ sai lầm.'], ['3. 簡単な計算を間違った', 'Nhầm phép tính đơn giản.'], ['名 間違い', 'Nhầm lẫn']]"
470,間違える,まちが,gian vi,"sai, mắc lỗi","[['1. テストの答えを間違えた', 'Trả lời sai câu hỏi kiểm tra.'], ['2. 塩とさとうを間違えてなべに入れてしまった', 'Nhầm muối với đường nên đã lỡ cho vào mất rồi.']]"
471,許す,ゆる,hứa,"tha thứ, cho phép","[['1. ひどいことを言われてけんかになったが、相手が謝ったので許してあげた', 'Bị nói những lời tồi tệ nên đã cải nhau nhưng đối phương đã xin lỗi nên tôi đã tha thứ.'], ['2. 罪を許される', 'Được tha tội.'], ['3. 子どもには、１日１時間だけゲームをすることを許している', 'Lúc bé, thì mỗi ngày được cho phép chơi game một tiếng.'], ['類 許可する', 'Cho phép.'], ['名 許し→\u3000＿を与える <=> 得る、\u3000＿をもらう', 'Sự tha lỗi, cho phép→ tha lỗi <=> nhận được sự tha thứ/ nhận sự cho phép']]"
472,慣れる,な,quán,"quen, quen với","[['1. 日本へ来て半年たって、生活にも慣れた', 'Tôi đến Nhật Bản nửa năm, cũng đã quen cuộc sống ở đây.'], ['2. 生の肉を食べるのには慣れていない', 'Tôi không thể quen với việc ăn thịt sống.'], ['3. サーカスの動物は、よく人に慣れている', 'Động vật trong rạp xiếc thì rất quen với con người.'], ['合 使い＿、\u3000はき＿、\u3000住み＿', 'Quen dùng, quen mang (mặc), quen nơi ở'], ['名 慣れ', 'Sự quen']]"
473,慣らす,な,quán,làm cho quen,"[['1. 準備運動をして体を慣らしてからプールに入ったほうがいい', 'Nên chuẩn bị vận động cho quen cơ thể rồi xuống hồ bơi thì tốt.'], ['2. 像を慣らして芸をさせる', 'Thuần hóa voi bắt nó biểu diễn.']]"
474,立つ,た,lập,"đứng, đứng lên, dựng lên","[['1. 「名前を呼ばれたら立ってください」', 'Sau khi được gọi tên thì hãy đứng dậy.'], ['2. 授業中、先生はずっと立って話している', 'Trong giờ hoc thầy giáo đứng nói suốt.'], ['3. 店の前に大きな看板が立っている', 'Bảng thông báo lớn được đặt trước cửa tiệm.'], ['4. 丘の上に白いホテルが立っている', 'Trên đồi có một khách sạn màu trắng được dựng lên.']]"
475,立てる,た,lập,"dựng đứng, lập nên","[['1. 屋根の上にアンテナを立てる', 'Dựng ăng ten trên mái nhà.'], ['2. 玄関にかさを立てて置く', 'Dựng ô lên đặt ở lối ra vào.']]"
476,建つ,た,kiến,"được xây dựng, dựng lên","[['1. 家の前に大きなマンションが建って', 'Chung cư lớn được xây trước nhà.']]"
477,建てる,た,kiến,xây dựng,"[['1. 都心に家を建てるのは大変だ', 'Xây nhà ở trung tâm thành phố rất vất vả.'], ['2. うちの会社は今年新しいビルを建てた', 'Năm nay công ty tôi đã xây dựng một tòa nhà mới.']]"
478,育つ,そだ,dục,"lớn lên, phát triển, được đào tạo","[['1. 雨が多い年は、米がよく育つ', 'Năm nay mưa nhiều lúa phát triển tốt.'], ['2. 親は子どもが元気に育つのを望んでいる', 'Bố mẹ hi vọng những đứa con phát triển khỏe mạnh.'], ['3. あの大学では優秀な研究者がたくさん育っている', 'Trường đại học đó có rất nhiều nhà nghiên cứu ưu tú được đào tạo.'], ['類 成長する', 'Trưởng thành.']]"
479,育てる,そだ,dục,"nuôi dưỡng, nuôi lớn, chăm sóc (hoa)","[['1. 母は５人の子どもを育てた', 'Mẹ tôi đã nuôi nấng 5 đứa con.'], ['2. 朝晩水をやって草花を育てている', 'Hằng ngày tôi đều tưới nước và chăm sóc hoa dại.'], ['3. あの会社は人材を育てるのが上手だ', 'Công ty đó giỏi đào tạo nhân tài.']]"
480,生える,は,sinh,"mọc, sinh sôi, phát triển","[['1. ｛髪／ひげ／歯／草／かび\u3000…｝が生える', '{Tóc, râu ,răng, mốc…} mọc lên.']]"
481,生やす,は,sinh,"nuôi, chăm","[['1. ひげを生やす', 'Mọc râu.']]"
482,汚れる,よご,ô,"vấy bẩn, bị bẩn","[['1. 空気の汚れたところには住みたくない', 'Tôi không muốn sống trong một nơi ô nhiễm không khí.'], ['関 汚い', 'Bẩn'], ['名 汚れ→\u3000＿がつく、＿をつける、＿が落ちる、＿を落とす', 'Bị bẩn, làm bẩn, vết bẩn làm sạch, tẩy vết bẩn']]"
483,汚す,よご,ô,"làm dơ, làm bẩn","[['1. どろ遊びをして服を汚した', 'Nghịch bùn làm bẩn quần áo.'], ['2. 川の水を汚さないようにしよう', 'Đừng làm ô nhiễm nước sông.']]"
484,壊れる,こわ,hoại,"hỏng, bị hỏng","[['1. ｛家／家具／電気製品\u3000…｝を壊れる', '{Nhà/ đồ đạc/ đồ điện…} bị hư hỏng.'], ['2. 壊れた時計を直してもらった', 'Đã sửa cái đồng hồ bị hư hỏng cho tôi.']]"
485,壊す,こわ,hoại,"làm hư, làm hỏng, gây hại","[['1. ｛家／家具／電気製品\u3000…｝を壊す', 'Làm hỏng {nhà/ đồ đạc/ đồ điện…}.'], ['2. 息子は新しいおもちゃをすぐに壊してしまう', 'Cậu con trai ngay lập tức làm hỏng món đồ chơi mới.'], ['3. 飲み過ぎて体を壊してしまった', 'Uống quá nhiều nên đã hủy hoại cơ thể.']]"
486,割れる,わ,cát,"bể, nứt, hỏng","[['1. ｛ガラス／皿／コップ\u3000…｝が割れる', '{Kính( thủy tinh)/ đĩa/ cóc…} bị vỡ.'], ['2. 羊のひづめは先が二つに割れている', 'Móng cừu bị gãy mất hai cái móng trước.'], ['3. みんなの意見が割れて、なかなか決まらなかった', 'Quan điểm mọi người bị chia rẽ, mãi mà không quyết định được.']]"
487,割る,わ,cát,"làm vỡ, chia","[['1. ｛ガラス／皿／コップ\u3000…｝を割る', 'Làm {kính / đĩa/ cốc…} vỡ.'], ['2. 卵を割ってボウルに入れる', 'Đập trứng vỡ cho vào bát.'], ['3. りんごを二つに割って二人で食べた', 'Chia đôi quả táo hai người ăn.'], ['4. １０を５でわると２になる', '10 chia thành 5 sẽ được 2.'], ['5. １０わる５は２だ', '10 chia 5 được 2.']]"
488,折れる,お,chiết,"bị bẻ, gãy","[['1. 強い風で枝が折れた', 'Cành cây bị gãy vì gió mạnh.']]"
489,折る,お,chiết,"bẻ gãy, gấp lại","[['1. スキーをして、店の骨を折った', 'Tôi trượt tuyết và bị gãy chân.'], ['2. 便せんを三つに折って封筒に入れた', 'Gấp tờ giấy viết thư làm 3 và nhét vào phong bì.'], ['合 折り紙', 'Nghệ thuật gấp giấy.']]"
490,破れる,やぶ,phá,"bị rách (giấy, sách, vải, áo…)","[['1. ｛紙／本／布／服\u3000…｝が破れる', '{Giấy/ sách/ vải/ áo…} bị rách.']]"
491,破る,やぶ,phá,"làm rách (giấy, sách, vải, áo…)","[['1. ｛紙／ノート／布／服\u3000…｝を破る', 'Làm rách {giấy/ vở/ vải/ áo…}.'], ['2. ｛約束／規則\u3000…｝を破る', 'Phá vỡ lời hứa, quy tắc.'], ['3. 水泳の世界記録が破られた', 'Kỉ lục bơi lội thế giới bị phá vỡ.'], ['対 守る', 'Tuân thủ, giữ gìn']]"
492,曲がる,ま,khúc,"cong, rẽ","[['1. 曲がった道', 'Khúc đường cong.'], ['2. 「この角を右に曲がって５０ｍほど行くと、銀行があります」', '""Rẽ phải ở góc đường và đi khoảng 50m sẽ có một cái ngân hàng.""'], ['3. 「ネクタイが曲がっていますよ」', '""Cái cà vạt đang bị xoắn quẩy kìa.""'], ['4. 腰の曲がったおばあさん', 'Bà già bị còng lưng.']]"
493,曲げる,ま,khúc,"bẻ cong , uốn cong","[['1. ｛針金／ひざ／腰\u3000…｝を曲げる', 'Bẻ cong, gập dây kim loại, đầu gối…']]"
494,外れる,はず,ngoại,"tuột ra, rời ra","[['1. ボタンがはずれる', 'Nút rớt ra.'], ['2. 天気予報がはずれる', 'Dự báo thời tiết bị không đúng.'], ['3. 宝くじがはずれた', 'Trượt xổ số.'], ['4. 矢が的をはずれる', 'Mũi tên không trúng đích.'], ['5. けがをした選手は、チームのメンバーからはずれた', 'Tuyển thủ bị thương bị loại khỏi đội.'], ['対 当たる', 'Trúng, chuẩn'], ['名 はずれ <=> 当たり', 'Trật, sai <=> trúng, chuẩn']]"
495,外す,はず,ngoại,"tháo ra, tháo ra, sai lệch, không đúng","[['1. ｛メガネ／腕時計／ボタン\u3000…｝をはずす', 'Tháo {kính/ đồng hồ đeo tay/ nút…}.'], ['2. 予想をはずす', 'Không đúng với tưởng tượng.'], ['3. 的をはずす', 'Sai đích.'], ['4. 監督は、けがをした選手をチームのメンバーからはずした', 'Huấn luận viên trưởng đưa tuyển thủ bị thương ra khỏi đội.'], ['対 当てる', 'Trúng']]"
496,揺れる,ゆ,dao,"dao động, lung lay","[['1. 風で木の葉がゆれている', 'Lá cây lay động trong gió.'], ['2. 地震で、地面が大きくゆれた', 'Mặt đất rung động dữ dội vì động đất.'], ['3. 彼と結婚するかしないか、気持ちがゆれている', 'Cảm xúc dao động về việc có kết hôn với anh ấy hay không.'], ['4. 地震のゆれが大きい', 'Sự rung chuyển của động đất thật là dữ dội.'], ['名 揺れ→\u3000＿が大きい <=> 小さい', 'Dao động, rung chuyển→ mạnh<=> nhẹ']]"
497,揺らす,ゆ,dao,"rung lắc, làm lung lay","[['1. 子どもの乗ったブランコをゆらして遊ばせた', 'Cái xích đu mà đứa trẻ leo lên được đu qua đu lại.']]"
498,流れる,なが,lưu,"chảy, trôi, lan ra","[['1. 町の中心を大きな川が流れている', 'Giữa thành phố có con sông rất lớn chảy qua.'], ['2. ｛汗／涙／血｝が流れる', 'Chảy {mồ hôi/ nước mắt/ máu…}.'], ['3. 川にたくさんのごみが流れている', 'Trên dòng sông có rất nhiều rác đang trôi.'], ['4. 彼の部屋にはいつも音楽が流れている', 'Phòng anh ấy thì luôn có tiếng nhạc đang lạc trôi.'], ['5. ｛うわさ／情報\u3000…｝が流れる', '{Tin đồn/ thông tin…} đang lan ra.'], ['名 流れ', 'Dòng chảy']]"
499,流す,なが,lưu,làm cho chảy ra,"[['1. 汚れた水を川に流してはいけない', 'Không được cho nước bẩn lan ra ngoài sông.'], ['2. トイレの水を流す', 'Xả nước nhà vệ sinh.'], ['3. ｛汗／涙／血｝を流す', 'Chảy {mồ hôi/ nước mắt/ máu…}.'], ['4. 洪水で家が流された', 'Vì lũ lụt nên nhà bị trôi mất.'], ['5. この喫茶店はいつもクラシック音楽を流している', 'Quán nước giải khát này lúc nào cũng phát nhạc cổ điển.'], ['6. ｛うわさ／情報\u3000…｝を流す', 'Làm lan truyền {tin đồn/ thông tin…}.']]"
500,濡れる,ぬ,nhu,"ướt, dính","[['1. 雨にぬれて、かぜをひいた', 'Tôi ướt mưa và bị cảm lạnh.'], ['2. 水がこぼれて、服がぬれてしまった', 'Nước đổ ra nên quần áo bị ướt.']]"
501,濡らす,ぬ,nhu,"làm ướt, làm ẩm","[['1. 水をこぼして、服をぬらしてしまった', 'Tôi làm đổ nước nên ướt áo.']]"
502,迷う,まよ,mê,"lạc đường, lúng túng, phân vân","[['1. 道に迷う', 'Lạc đường.'], ['2. 冬山で迷ってしまい、もう少しで死ぬところだった', 'Tôi bị lạc ở rừng tuyết, suýt nữa thì mất mạng.'], ['3. 日本で就職するか、国に帰るか、迷っている', 'Tôi đang lúng túng trong việc tìm việc làm ở Nhật hay về nước.'], ['関 悩む', 'Lo, buồn'], ['名 迷い→\u3000＿がある <=> ない', 'Có( không có) sự ngập ngừng, bối rối.']]"
503,悩む,なや,não,"lo lắng, buồn phiền","[['1. 就職するか、進学するか、悩んでいる', 'Tôi lo lắng về việc tìm việc hay học lên tiếp.'], ['2. 彼女は苦しい恋に悩んでいる', 'Cô ấy đau buồn vì chuyện tình bi đát.'], ['3. 父は腰痛で悩んでいる', 'Bố đang lo lắng vì bệnh đau lưng.'], ['4. 若いときから頭痛に悩まされてきた', 'Từ khi còn trẻ tôi đã khổ sở vì bệnh đau đầu.'], ['名 悩み→\u3000＿がある <=> ない、\u3000＿を打ち明ける', 'Có( không có) nỗi buồn, tâm sự, nỗi buồn, lo lắng với ai đó.']]"
504,慌てる,あわ,hoảng,"vội, luống cuống, hốt hoảng","[['1. 学校に遅れそうになって、あわてて家を出た', 'Sắp muộn học nên tôi vội vàng phi nhanh ra khỏi nhà.'], ['2. 店でさいふが見つからなくてあわてた', 'Ở cửa hàng không tìm thấy ví nên tôi rất hoảng loạn.'], ['3. 大あわてで家を出たので、さいふを忘れてしまった', 'Vì ra khỏi nhà rất vội vàng nên tôi quên xừ mất ví ở nhà.'], ['合 大慌て', 'Vô cùng hoảng loạn, rất vội vàng']]"
505,覚める,さ,giác,"tỉnh dậy, tỉnh","[['1. 昨夜は暑くて、夜中に何度も目が覚めた', 'Đêm qua rất nóng nên giữa đêm tôi đã tỉnh dậy không biết bao nhiêu lần.'], ['2. 酔いが覚める', 'Tỉnh rượu.'], ['3. 夢｛が／から｝覚める', 'Tỉnh mộng.']]"
506,覚ます,さ,giác,"đánh thức, làm cho tỉnh","[['1. 目を覚ますと、もう１０時だった', 'Khi mở mắt thì đã 10 giờ rồi.'], ['2. 少し酔いを覚ましてから帰ろう', 'Để cho tỉnh rượu một chút rồi cùng về.']]"
507,眠る,ねむ,miên,ngủ,"[['1. 入試の前の日、緊張してよくぬ眠れなかった', 'Hôm trước ngày thi tôi rất căng thẳng và ngủ không ngon.'], ['類 寝る', 'Ngủ, nằm xuống'], ['名 眠り→\u3000＿につく、＿に落ちる、＿が浅い <=> 深い', 'Đi ngủ, rơi vào giấc ngủ/ ngủ nông<=> sâu']]"
508,祈る,いの,kì,cầu nguyện,"[['1. 家族の健康を神に祈った', 'Tôi cầu sức khỏe cho gia đình với các thánh thần.'], ['2. 私は別れても彼の幸せを祈っている', 'Dù đã chia tay nhưng tôi vẫn cầu cho anh ta hạnh phúc.'], ['3. 私の祈りが神に通じたのか、父の手術は成功した', 'Không biết lời cầu nguyện của tôi được thánh thần đáp lại hay không mà ca phẫu thuật của ba tôi đã thành công.'], ['名 祈り', 'Ăn mừng, chúc mừng']]"
509,祝う,いわ,chúc,"ăn mừng, chúc mừng","[['1. ｛新年／誕生日／成功\u3000…｝を祝って乾杯した', 'Chúc mừng {năm mới/ sinh nhật/ thành công…} cạn li!'], ['2. 結婚の（お）祝いにワイングラスをもらった', 'Được tặng quà mừng kết hôn là 1 cái cốc uống rượu.'], ['名 祝い', 'Quà']]"
510,感じる,かん,cảm,"cảm giác, cảm thấy","[['1. ｛寒さ／痛み／空腹／甘み／ゆれ\u3000…｝を感じる', 'Cảm giác {lạnh/ đau / đói/ rung…}.'], ['2. 私のミスで試合に負けてしまい、責任を感じている', 'Tôi cảm thấy có trách nhiệm do lỗi của mình mà đã thua trận đấu này.'], ['3. 子どもたちが独立し、両親は寂しく感じているようだ', 'Bố mẹ có vẻ cảm thấy buồn khi lũ con sống tự lập.'], ['4. あの父親には子どもへの愛情が感じられない', 'Không cảm nhận được tình cảm của ông bố dành cho người con.'], ['5. きょうは何かいいことが起こりそうな感じがする', 'Hôm nay có cảm giác là sẽ có một chuyện tốt lành nào đó xảy ra.'], ['名 感じ→\u3000＿がする、＿がいい <=> 悪い', 'Cảm giác→tốt <=> xấu.']]"
511,クラスメート,,,bạn cùng lớp (classmate),"[['1. クラスメートと仲よくする', 'Quan hệ tốt với bạn trong lớp.']]"
512,グループ,,,nhóm (group),"[['1. ３人のグループで旅行をする', 'Du lịch nhóm 3 người.'], ['2. 形容詞は、イ形容詞とナ形容詞の二つのグループに分かれる', 'Tính từ thì chia làm hai nhóm là tính từ đuôi I và tính từ đuôi na.'], ['関 ペア', 'Đội, nhóm']]"
513,チーム,,,"đội, nhóm (team)","[['1. 私たちのチームが勝った', 'Đội chúng ta đã thắng.'], ['2. チームを組んで調査する', 'Lập đội và điều tra.'], ['連 ＿を組む', 'Lập dội'], ['合 ＿プレー、＿ワーク、＿メート、｛野球／サッカー\u3000…｝＋チーム', 'Đội chơi, teamwork làm việc nhóm, đồng đội, đội bóng chày, đội bóng đá']]"
514,プロフェッショナル（プロ）,,,"chuyên nghiệp, nhà nghề (professional)","[['1. プロのサッカー選手になりたい', 'Tôi muốn trở thành một cầu thủ bóng đá chuyên nghiêp.'], ['2. 彼女の料理はプロ並みだ', 'Món ăn của cô ấy ở trình pro rồi.'], ['合 プロ＋｛野球／レスリング\u3000…｝', '{Bóng chày/ đấu vật…} chuyên nghiệp.'], ['対 アマ（チュア）', 'Nghiệp dư'], ['類 くろうと', 'Giỏi, chuyên nghiệp']]"
515,アマチュア（アマ）,,,"không chuyên, nghiệp dư (amateur)","[['1. この絵はアマチュアの作品とは思えないほどすばらしい', 'Bức tranh tuyệt đến mức tôi không thể nghĩ đó là một tác phẩm nghiệp dư.'], ['合 アマチュア＋｛野球／写真家\u3000…｝', '{Bóng chày/ đấu vật...} nghiệp dư.'], ['対 プロ\u3000（フェッショナル）', 'Chuyên nghiệp, pro'], ['類 しろうと', 'Kém, không chuyên nghiệp']]"
516,トレーニング,,,"đào tạo, huấn luyện (training)","[['1. 勝つためには毎日のトレーニングが必要だ', 'Để chiến thắng cần tập luyện mỗi ngày.'], ['類 練習、訓練', 'Luyện tập, rèn luyện']]"
517,マッサージ,,,"xoa bóp, mát-xa (massage)","[['1. 頭をマッサージしてもらうと気持ちがいい', 'Cảm giác thật tuyệt khi được mát xa đầu.']]"
518,アドバイス,,,lời khuyên (advice),"[['1. 後輩に仕事のやり方についてアドバイスをする', 'Tôi khuyên đàn em về cách làm việc.'], ['2. 「何かアドバイスをいただけませんか」', '""Cho tôi lời khuyên gì đó được không.""'], ['連 ＿を与える、＿をもらう、＿を受ける', 'Cho lời khuyên, nhận lời khuyên']]"
519,アイデア,,,ý tưởng (idea),"[['1. いいアイデアが浮かんだ', 'Đã nảy ra ý tưởng hay.'], ['連 ＿が浮かぶ、＿を思いつく', 'Nảy ra, nghĩ ra ý tưởng'], ['合 グッド＿', 'Ý tưởng hay.']]"
520,トップ,,,"đầu, đỉnh, đầu tiên (top)","[['1. 彼はクラスでトップの成績だ', 'Anh ấy có thành tích đứng đầu.'], ['2. 日本の科学技術は、世界のトップレベルにある', 'Khoa học kĩ thuật của Nhật Bản thuộc trình độ đỉnh của thế giới.'], ['3. 高橋選手がトップでゴールした', 'Tuyển thủ Takahashi đã về đích đầu tiên( marathon).'], ['4. 「これからスピーチコンテストを始めます。トップは中国のチンさんです」', '""Bây giờ sẽ bắt đầu cuộc thi thuyết trình. Đầu tiên sẽ là bạn Chin đến từ Trung Quốc.""'], ['5. 新聞のトップを見る', 'Đọc tin tức hàng đầu( trang đầu) tờ báo.'], ['合 ＿バッター、＿ニュース、＿クラス、＿レベル', 'Trận đánh đầu, tin tức đầu tiên, lớp đứng đầu, trình độ cao nhất'], ['類 最初、一番、１位、首位、先頭', 'Thứ 1, vị trí đứng đầu, tiên phong']]"
521,スピード,,,tốc độ (speed),"[['1. 「運転手さん、もう少しスピードを上げてください」', '""Bác tài ơi, chạy nhanh hơn một chút giúp với.""'], ['2. 先生の話すスピードが速すぎて理解できない', 'Tốc độ nói chuyện của thầy quá nhanh tôi không hiểu nổi.'], ['連 ＿が速い <=> 遅い、＿が出る、＿を出す、＿を上げる <=> 落とす', 'Tốc độ nhanh<=> tốc độ chậm, di chuyển,tăng tốc đọ <=> giảm tốc dộ'], ['合 ＿違反、＿アップ、＿オーバー', 'Vi phạm tốc độ, tăng tốc độ, vượt quá tốc độ']]"
522,ラッシュ,,,"cao điểm, giờ cao điểm (rush)","[['1. 年末年始は、帰省ラッシュでチケットがとりにくい', 'Đầu năm cuối năm là thời gian cao điểm khó mua vé.'], ['2. ラッシュ（＜ラッシュアワー）の時間帯に電車に乗るのは大変だ', 'Vào giờ cao điểm đi tàu rất vất vả.'], ['合 帰省＿、通勤＿、通学＿', 'Thời gian về quê cao điểm/ giờ đi làm cao điểm/ giờ đi học cao điểm.']]"
523,バイク,,,xe mô tô (motobike),"[['類 オートバイ、原付＜原動機付き時電車', 'Motobike/ xe gắn máy'], ['関 自転車', 'Xe đạp']]"
524,ヘルメット,,,mũ bảo hiểm (helmet),"[['1. バイクに乗るときは、ヘルメットをかぶる', 'Khi đi xe máy thì đội mũ bảo hiểm.'], ['連 ＿をかぶる <=> ぬぐ、＿をとる', 'Đội mũ <=> bỏm mũ, cởi mủ ra.']]"
525,コンタクトレンズ,,,kính áp tròng (contact lens),"[['連 ＿を｛する／入れる／はめる／つける｝ <=> ｛はずす／とる｝', 'Đeo kính <=> bỏ kính ra'], ['関 めがね', 'Kính']]"
526,ガラス,,,kính (glass),"[['1. ボールをぶつけて窓ガラスを割ってしまった', 'Đánh bóng làm bể kính của sổ.'], ['合 窓＿', 'Kính cửa sổ'], ['関 グラス', 'Cốc thủy tinh']]"
527,プラスチック,,,nhựa (plastic),"[['1. 「プラスチック製品は生ごみの中にいれないでください」', 'Đồ nhựa không được cho vào rác phân hủy.'], ['合 ＿製品', 'Sản phẩm nhựa'], ['関 ビニール、ビニール袋、ポリエチレン、ポリ袋', 'Nilon, túi nilon, poliêtylen, túi nhựa poli']]"
528,ベランダ,,,ban công (balcony),"[['1. ベランダに洗たく物を干す', 'Phơi đồ giặt ở ban công.'], ['類 バルコニー', 'Ban công']]"
529,ペット,,,"vật nuôi, thú cưng (pet)","[['1. アパートなので、ペットが飼えない', 'Viì là chung cư nên không được nuôi động vật.'], ['2. ペットの犬にかまれた', 'Bị chó cắn.'], ['連 ＿を飼う', 'Nuôi thú cưng'], ['合 ＿ショップ、＿フード', 'Shop thú cưng']]"
530,ベンチ,,,băng ghế dài (bench),"[['1. 公園のベンチで休む', 'Nghỉ ngơi trên ghế dài của công viên.'], ['2. 駅のホームのベンチにすわる', 'Ngồi trên ghế đợi của nhà ga.']]"
531,デザイン,,,thiết kế (design),"[['1. あのドレスは色もデザインもいい', 'Bộ trang phục kia màu cũng như thiết kế đều đẹp.'], ['2. おしゃれなデザインのブーツ', 'Đôi giày boot có thiết kế rất thời trang.'], ['3. 私たちの学校の制服は、有名なデザイナーがデザインしたものだ', 'Áo đồng phục của chúng ta là do một nhà thiết kế nổi tiếng thiết kế.'], ['合 グラフィック＿、インテリア＿', 'Thiết kế đồ họa/ thiết kế nội thất'], ['関 デザイナー', 'Nhà thiết kế']]"
532,バーゲンセール,,,"hạ giá, giảm giá (sale)","[['1. デパートで今バーゲンセールをして  (A) 要る', 'Đang có giảm giá trong trung tâm mua sắm.'], ['2. 「このバッグ、バーゲンで買ったの」', '""Cái túi này là tôi mua lúc giảm giá.""']]"
533,パート,,,"việc làm part time, một phần (part-time job, part)","[['1. 母は週三日、スーパーでパートをしている', 'Mẹ tôi làm thêm ở siêu thị 3 ngày 1 tuần.'], ['2. パートで働く', 'Làm thêm.'], ['3. 合唱でソプラノのパートを歌っている', 'Tôi hát trong phần nữ cao của hợp xướng.'], ['合 ＿タイム、＿タイムー', 'Việc làm bán thời gian, người làm việc bán thời gian']]"
534,コンビニエンスストア,,,của hàng tiện lợi (convenience store),"[['', '']]"
